Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Chicago,Weekly,"2020-01-05 00:00:00","Conventional ",1.080000000,807582.31,101085.90,278621.64,42010.95,385863.82,128566.57,257233.80,63.45
Cincinnati/Dayton,Weekly,"2020-01-26 00:00:00","Conventional ",1.010000000,310883.68,66070.03,13145.45,8772.10,222896.10,184992.96,32981.39,4921.75
Cincinnati/Dayton,Weekly,"2020-01-19 00:00:00","Conventional ",0.710000000,381314.44,86382.49,41325.15,10226.89,243379.91,226208.45,14963.15,2208.31
Cincinnati/Dayton,Weekly,"2020-01-12 00:00:00","Conventional ",0.740000000,407672.05,90021.93,13103.61,10048.46,294498.05,271751.84,14820.47,7925.74
Cincinnati/Dayton,Weekly,"2020-01-05 00:00:00","Conventional ",0.730000000,356146.76,93137.63,21602.44,10971.84,230434.85,209011.94,20838.85,584.06
Columbus,Weekly,"2020-01-26 00:00:00","Conventional ",0.940000000,221323.90,56772.44,11600.46,2550.27,150400.73,104993.25,44495.88,911.60
Columbus,Weekly,"2020-01-19 00:00:00","Conventional ",0.700000000,281703.84,80080.91,35878.65,2641.76,163102.52,136007.37,26066.03,1029.12
Columbus,Weekly,"2020-01-12 00:00:00","Conventional ",0.740000000,285629.64,79911.69,11710.44,2031.19,191976.32,164567.04,27167.69,241.59
Columbus,Weekly,"2020-01-05 00:00:00","Conventional ",0.730000000,251781.00,78509.61,18725.55,2124.19,152421.65,130665.08,21493.02,263.55
"Dallas/Ft. Worth",Weekly,"2020-01-26 00:00:00","Conventional ",0.650000000,1728276.49,787118.76,145521.78,12066.52,783569.43,568751.54,214379.44,438.45
"Dallas/Ft. Worth",Weekly,"2020-01-19 00:00:00","Conventional ",0.660000000,1685126.21,721313.89,166249.78,11677.52,785885.02,509585.07,275651.18,648.77
"Dallas/Ft. Worth",Weekly,"2020-01-12 00:00:00","Conventional ",0.720000000,1666475.07,657589.73,207742.84,10656.84,790485.66,450864.81,338958.08,662.77
"Dallas/Ft. Worth",Weekly,"2020-01-05 00:00:00","Conventional ",0.710000000,1600871.66,664611.03,201597.18,13711.05,720952.40,415972.63,304522.94,456.83
