Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Plains,Weekly,"2020-01-05 00:00:00",Organic,1.350000000,56875.33,4545.52,5570.62,4.32,46754.87,37333.77,9421.10,0.00
Portland,Weekly,"2020-01-26 00:00:00",Organic,1.860000000,32521.51,43.33,11911.23,0.00,20566.95,12435.10,8128.00,3.85
Portland,Weekly,"2020-01-19 00:00:00",Organic,1.580000000,38342.07,77.62,6213.02,0.00,32051.43,11184.21,20809.72,57.50
Portland,Weekly,"2020-01-12 00:00:00",Organic,1.590000000,40775.29,196.94,7128.18,0.00,33450.17,13024.79,20352.54,72.84
Portland,Weekly,"2020-01-05 00:00:00",Organic,1.600000000,29529.65,196.79,10562.55,0.00,18770.31,6483.67,12206.08,80.56
Raleigh/Greensboro,Weekly,"2020-01-26 00:00:00",Organic,1.860000000,17992.59,933.59,3548.17,194.06,13316.77,11532.12,1784.65,0.00
Raleigh/Greensboro,Weekly,"2020-01-19 00:00:00",Organic,1.970000000,15448.73,987.50,3642.60,238.70,10579.93,7688.21,2891.72,0.00
Raleigh/Greensboro,Weekly,"2020-01-12 00:00:00",Organic,2.080000000,14694.23,206.66,3682.27,94.82,10710.48,8726.24,1984.24,0.00
Raleigh/Greensboro,Weekly,"2020-01-05 00:00:00",Organic,1.870000000,17410.53,2.21,3630.53,48.50,13729.29,9999.87,3729.42,0.00
Richmond/Norfolk,Weekly,"2020-01-26 00:00:00",Organic,1.240000000,21960.69,111.92,1634.61,5.32,20208.84,18482.27,1726.57,0.00
Richmond/Norfolk,Weekly,"2020-01-19 00:00:00",Organic,1.540000000,14071.60,29.19,1869.51,7.96,12164.94,9278.93,2886.01,0.00
Richmond/Norfolk,Weekly,"2020-01-12 00:00:00",Organic,1.210000000,20628.64,41.00,2239.67,9.25,18338.72,14336.84,4001.88,0.00
Richmond/Norfolk,Weekly,"2020-01-05 00:00:00",Organic,0.940000000,28332.88,19.89,2018.97,21.04,26272.98,22532.82,3740.16,0.00
Roanoke,Weekly,"2020-01-26 00:00:00",Organic,1.130000000,18204.04,25.79,1377.28,0.00,16800.97,14152.26,2648.71,0.00
Roanoke,Weekly,"2020-01-19 00:00:00",Organic,1.080000000,13672.93,9.72,1420.29,0.00,12242.92,8123.04,4119.88,0.00
Roanoke,Weekly,"2020-01-12 00:00:00",Organic,1.050000000,16050.51,33.80,1789.98,0.00,14226.73,7990.62,6236.11,0.00
Roanoke,Weekly,"2020-01-05 00:00:00",Organic,0.870000000,18932.70,7.12,1306.40,0.00,17619.18,13335.65,4283.53,0.00
Sacramento,Weekly,"2020-01-26 00:00:00",Organic,1.690000000,15658.57,1742.58,1881.04,0.00,12034.95,12031.81,3.14,0.00
Sacramento,Weekly,"2020-01-19 00:00:00",Organic,1.730000000,15450.98,1887.98,2295.86,0.00,11267.14,11264.00,3.14,0.00
Sacramento,Weekly,"2020-01-12 00:00:00",Organic,1.730000000,14862.41,1978.13,2523.62,0.00,10360.66,10354.41,6.25,0.00
Sacramento,Weekly,"2020-01-05 00:00:00",Organic,1.750000000,17627.39,2019.30,2555.47,0.00,13052.62,13043.26,9.36,0.00
"San Diego",Weekly,"2020-01-26 00:00:00",Organic,1.720000000,27585.40,820.20,929.47,0.00,25835.73,17990.33,7845.40,0.00
"San Diego",Weekly,"2020-01-19 00:00:00",Organic,1.790000000,36225.12,1030.24,1039.07,0.00,34155.81,21476.89,12678.92,0.00
"San Diego",Weekly,"2020-01-12 00:00:00",Organic,1.800000000,34982.33,1139.06,1023.82,0.00,32819.45,18255.88,14563.57,0.00
"San Diego",Weekly,"2020-01-05 00:00:00",Organic,1.630000000,27263.25,913.60,838.39,0.00,25511.26,14415.75,11095.51,0.00
"San Francisco",Weekly,"2020-01-26 00:00:00",Organic,2.000000000,58211.27,3308.83,4281.27,0.00,50621.17,50503.30,117.87,0.00
"San Francisco",Weekly,"2020-01-19 00:00:00",Organic,2.030000000,55185.39,6835.53,5017.46,0.00,43332.40,43303.85,28.55,0.00
"San Francisco",Weekly,"2020-01-12 00:00:00",Organic,2.030000000,52045.62,5607.84,5382.79,0.00,41054.99,40969.59,85.40,0.00
"San Francisco",Weekly,"2020-01-05 00:00:00",Organic,1.980000000,67140.53,4048.98,5368.47,0.00,57723.08,57644.75,78.33,0.00
Seattle,Weekly,"2020-01-26 00:00:00",Organic,1.480000000,67461.35,263.71,32480.37,7.99,34709.28,8302.69,26406.59,0.00
Seattle,Weekly,"2020-01-19 00:00:00",Organic,1.490000000,85385.70,172.65,21678.37,11.95,63522.73,5032.28,58484.55,5.90
Seattle,Weekly,"2020-01-12 00:00:00",Organic,1.810000000,41949.49,235.35,7606.24,4.01,34103.89,14382.52,19721.37,0.00
Seattle,Weekly,"2020-01-05 00:00:00",Organic,1.590000000,40220.62,256.56,11983.69,0.00,27980.37,11379.41,16583.14,17.82
"South Carolina",Weekly,"2020-01-26 00:00:00",Organic,1.530000000,20761.79,558.65,3632.69,130.01,16440.44,13976.22,2464.22,0.00
"South Carolina",Weekly,"2020-01-19 00:00:00",Organic,1.610000000,16881.66,580.55,3683.97,110.01,12507.13,8572.61,3934.52,0.00
"South Carolina",Weekly,"2020-01-12 00:00:00",Organic,1.510000000,18172.64,246.69,3480.47,52.07,14393.41,10765.49,3627.92,0.00
"South Carolina",Weekly,"2020-01-05 00:00:00",Organic,1.550000000,18537.67,55.44,3353.25,47.63,15081.35,10505.61,4575.74,0.00
"South Central",Weekly,"2020-01-26 00:00:00",Organic,1.340000000,131314.57,18204.79,1457.13,2749.30,108903.35,76929.66,31973.69,0.00
"South Central",Weekly,"2020-01-19 00:00:00",Organic,1.330000000,137373.85,12363.23,1961.76,2658.09,120390.77,87529.96,32860.81,0.00
"South Central",Weekly,"2020-01-12 00:00:00",Organic,1.350000000,152589.59,17136.21,2151.70,3055.56,130246.12,96344.60,33901.52,0.00
"South Central",Weekly,"2020-01-05 00:00:00",Organic,1.340000000,135702.00,22194.46,1850.62,2192.75,109464.17,82393.54,27070.63,0.00
Southeast,Weekly,"2020-01-26 00:00:00",Organic,1.290000000,141103.93,2187.95,11497.93,137.82,127280.23,111558.06,15722.17,0.00
Southeast,Weekly,"2020-01-19 00:00:00",Organic,1.250000000,126013.19,1858.55,13049.16,117.08,110988.40,83199.26,27789.14,0.00
Southeast,Weekly,"2020-01-12 00:00:00",Organic,1.240000000,144286.90,1791.42,13031.03,55.62,129408.83,98627.86,30780.97,0.00
Southeast,Weekly,"2020-01-05 00:00:00",Organic,1.290000000,127700.34,1576.95,11286.49,51.07,114785.83,89447.41,25338.42,0.00
Spokane,Weekly,"2020-01-26 00:00:00",Organic,1.630000000,4704.77,14.98,1200.66,0.00,3489.13,1296.60,2192.53,0.00
Spokane,Weekly,"2020-01-19 00:00:00",Organic,1.620000000,5156.77,25.52,867.68,0.00,4263.57,872.74,3390.83,0.00
Spokane,Weekly,"2020-01-12 00:00:00",Organic,1.370000000,4438.60,55.30,1008.13,0.00,3375.17,1810.76,1564.41,0.00
Spokane,Weekly,"2020-01-05 00:00:00",Organic,1.730000000,3356.13,48.45,931.10,0.00,2376.58,2243.16,133.42,0.00
"St. Louis",Weekly,"2020-01-26 00:00:00",Organic,2.090000000,9071.57,2851.65,1776.60,0.00,4443.32,2220.00,2223.32,0.00
"St. Louis",Weekly,"2020-01-19 00:00:00",Organic,1.300000000,25244.97,19209.95,1943.75,0.00,4091.27,1726.17,2365.10,0.00
"St. Louis",Weekly,"2020-01-12 00:00:00",Organic,1.950000000,8091.67,1095.71,2084.13,0.00,4911.83,2833.33,2078.50,0.00
"St. Louis",Weekly,"2020-01-05 00:00:00",Organic,2.070000000,7833.62,1229.32,2310.66,0.00,4293.64,2039.26,2254.38,0.00
Syracuse,Weekly,"2020-01-26 00:00:00",Organic,1.430000000,3266.78,120.44,97.02,0.00,3049.32,1744.95,1304.37,0.00
Syracuse,Weekly,"2020-01-19 00:00:00",Organic,1.270000000,3650.33,80.19,52.43,0.00,3517.71,749.48,2768.23,0.00
Syracuse,Weekly,"2020-01-12 00:00:00",Organic,1.200000000,4401.25,168.26,93.78,0.00,4139.21,954.87,3184.34,0.00
Syracuse,Weekly,"2020-01-05 00:00:00",Organic,1.170000000,4228.66,86.67,83.77,0.00,4058.22,990.95,3067.27,0.00
Tampa,Weekly,"2020-01-26 00:00:00",Organic,1.150000000,9497.86,123.53,1.00,0.00,9373.33,9373.33,0.00,0.00
Tampa,Weekly,"2020-01-19 00:00:00",Organic,1.150000000,8500.38,138.17,0.00,0.00,8362.21,8362.21,0.00,0.00
Tampa,Weekly,"2020-01-12 00:00:00",Organic,1.150000000,10241.99,214.22,0.00,0.00,10027.77,10027.77,0.00,0.00
Tampa,Weekly,"2020-01-05 00:00:00",Organic,1.150000000,9233.65,165.09,3.00,0.00,9065.56,9065.56,0.00,0.00
"Total U.S.",Weekly,"2020-01-26 00:00:00",Organic,1.440000000,1701009.45,108818.36,166076.47,4202.12,1421897.31,1190893.61,230944.34,59.36
"Total U.S.",Weekly,"2020-01-19 00:00:00",Organic,1.350000000,2058102.35,211748.69,184267.17,4167.88,1657863.84,1298598.30,359200.35,65.19
"Total U.S.",Weekly,"2020-01-12 00:00:00",Organic,1.410000000,1960946.80,152181.51,164251.09,4714.51,1639770.67,1282533.77,357168.72,68.18
"Total U.S.",Weekly,"2020-01-05 00:00:00",Organic,1.400000000,1661847.67,111735.11,180465.83,3006.45,1366605.00,1060725.23,305796.57,83.20
West,Weekly,"2020-01-26 00:00:00",Organic,1.440000000,337570.19,25168.68,60280.38,771.23,251349.90,196496.21,54794.33,59.36
West,Weekly,"2020-01-19 00:00:00",Organic,1.190000000,559212.70,62029.53,44795.39,789.95,451597.83,345160.78,106371.86,65.19
West,Weekly,"2020-01-12 00:00:00",Organic,1.260000000,493633.15,55368.84,28441.01,831.82,408991.48,348174.48,60748.82,68.18
West,Weekly,"2020-01-05 00:00:00",Organic,1.510000000,274540.27,23699.10,35818.42,469.71,214553.04,170725.09,43744.75,83.20
"West Tex/New Mexico",Weekly,"2020-01-26 00:00:00",Organic,1.400000000,26160.83,1372.13,504.69,1758.52,22525.49,20688.41,1837.08,0.00
"West Tex/New Mexico",Weekly,"2020-01-19 00:00:00",Organic,1.320000000,26229.10,1382.18,644.90,1774.35,22427.67,21265.82,1161.85,0.00
"West Tex/New Mexico",Weekly,"2020-01-12 00:00:00",Organic,1.340000000,24120.90,1187.01,617.72,2043.99,20272.18,18689.79,1582.39,0.00
"West Tex/New Mexico",Weekly,"2020-01-05 00:00:00",Organic,1.290000000,25878.23,1716.57,517.78,1298.84,22345.04,20561.19,1783.85,0.00
